system:index,Lat,Long,Z,.geo
00000000000000001047,-25.637,-48.18,-18.683069,"{""type"":""Point"",""coordinates"":[-48.1803015000153,-25.636972773538545]}"
00000000000000001049,-25.637,-48.188,-16.400394,"{""type"":""Point"",""coordinates"":[-48.187881971806156,-25.636972773538545]}"
0000000000000000104b,-25.637,-48.185,-16.598578,"{""type"":""Point"",""coordinates"":[-48.18535366150885,-25.636972773538545]}"
0000000000000000104d,-25.637,-48.173,-17.79622,"{""type"":""Point"",""coordinates"":[-48.17272102822444,-25.63697277353855]}"
0000000000000000104f,-25.637,-48.17,-16.840583,"{""type"":""Point"",""coordinates"":[-48.170197177028186,-25.636972773538545]}"
00000000000000001051,-25.637,-48.178,-16.823698,"{""type"":""Point"",""coordinates"":[-48.177777648819045,-25.63697277353855]}"
00000000000000001053,-25.637,-48.175,-17.017701,"{""type"":""Point"",""coordinates"":[-48.17524933852173,-25.636972773538545]}"
00000000000000001055,-25.637,-48.163,-17.758984,"{""type"":""Point"",""coordinates"":[-48.162616705237326,-25.63697277353854]}"
00000000000000001057,-25.637,-48.16,-17.195527,"{""type"":""Point"",""coordinates"":[-48.160088394940026,-25.636972773538545]}"
00000000000000001059,-25.637,-48.168,-16.935165,"{""type"":""Point"",""coordinates"":[-48.16766886673088,-25.636972773538545]}"
0000000000000000105b,-25.637,-48.165,-18.285229,"{""type"":""Point"",""coordinates"":[-48.16514055643357,-25.63697277353855]}"
0000000000000000105d,-25.637,-48.233,-15.425849,"{""type"":""Point"",""coordinates"":[-48.233360343450244,-25.636972773538545]}"
0000000000000000105e,-25.637,-48.231,-16.944251,"{""type"":""Point"",""coordinates"":[-48.23083649225401,-25.636972773538545]}"
00000000000000001060,-25.637,-48.238,-15.163096,"{""type"":""Point"",""coordinates"":[-48.23841696404485,-25.636972773538545]}"
00000000000000001061,-25.637,-48.236,-15.171609,"{""type"":""Point"",""coordinates"":[-48.23588865374755,-25.636972773538545]}"
00000000000000001062,-25.637,-48.223,-16.11333,"{""type"":""Point"",""coordinates"":[-48.22325602046313,-25.63697277353855]}"
00000000000000001063,-25.637,-48.221,-18.856724,"{""type"":""Point"",""coordinates"":[-48.22072771016583,-25.63697277353855]}"
00000000000000001064,-25.637,-48.228,-16.003232,"{""type"":""Point"",""coordinates"":[-48.2283081819567,-25.636972773538545]}"
00000000000000001065,-25.637,-48.226,-15.626212,"{""type"":""Point"",""coordinates"":[-48.22578433076043,-25.63697277353855]}"
00000000000000001066,-25.637,-48.213,-16.160465,"{""type"":""Point"",""coordinates"":[-48.21314723837498,-25.636972773538545]}"
00000000000000001067,-25.637,-48.211,-16.243823,"{""type"":""Point"",""coordinates"":[-48.21062338717873,-25.63697277353855]}"
00000000000000001068,-25.637,-48.218,-16.218927,"{""type"":""Point"",""coordinates"":[-48.21820385896959,-25.636972773538545]}"
00000000000000001069,-25.637,-48.216,-15.785096,"{""type"":""Point"",""coordinates"":[-48.21567554867228,-25.63697277353855]}"
0000000000000000106a,-25.637,-48.203,-16.106527,"{""type"":""Point"",""coordinates"":[-48.20304291538787,-25.63697277353855]}"
0000000000000000106b,-25.637,-48.201,-17.360266,"{""type"":""Point"",""coordinates"":[-48.20051460509056,-25.636972773538545]}"
0000000000000000106c,-25.637,-48.208,-15.750757,"{""type"":""Point"",""coordinates"":[-48.20809507688142,-25.636972773538545]}"
0000000000000000106d,-25.637,-48.206,-15.743504,"{""type"":""Point"",""coordinates"":[-48.20556676658412,-25.636972773538545]}"
000000000000000019ec,-25.634,-48.423,-9.6089676,"{""type"":""Point"",""coordinates"":[-48.42286322001959,-25.634466758746505]}"
000000000000000019ed,-25.634,-48.42,-9.6675189,"{""type"":""Point"",""coordinates"":[-48.420334909722285,-25.634466758746502]}"
000000000000000019ee,-25.634,-48.425,-9.550781,"{""type"":""Point"",""coordinates"":[-48.425387071215845,-25.634466758746502]}"
000000000000000019ef,-25.634,-48.413,-9.817975,"{""type"":""Point"",""coordinates"":[-48.41275443793143,-25.634466758746505]}"
000000000000000019f0,-25.634,-48.41,-9.8358651,"{""type"":""Point"",""coordinates"":[-48.41023058673518,-25.634466758746505]}"
000000000000000019f1,-25.634,-48.418,-9.7248265,"{""type"":""Point"",""coordinates"":[-48.417806599424985,-25.634466758746505]}"
000000000000000019f2,-25.634,-48.415,-9.7774131,"{""type"":""Point"",""coordinates"":[-48.415282748228734,-25.634466758746505]}"
000000000000000019f3,-25.634,-48.403,-10.202174,"{""type"":""Point"",""coordinates"":[-48.40265011494433,-25.634466758746505]}"
000000000000000019f4,-25.634,-48.4,-10.396571,"{""type"":""Point"",""coordinates"":[-48.40012180464703,-25.634466758746505]}"
000000000000000019f5,-25.634,-48.408,-9.854793,"{""type"":""Point"",""coordinates"":[-48.407702276437874,-25.634466758746505]}"
000000000000000019f6,-25.634,-48.405,-9.9803404,"{""type"":""Point"",""coordinates"":[-48.40517396614058,-25.634466758746505]}"
00000000000000001a08,-25.634,-48.19,-16.807304,"{""type"":""Point"",""coordinates"":[-48.19041028210346,-25.634466758746502]}"
00000000000000001a0a,-25.634,-48.188,-16.61536,"{""type"":""Point"",""coordinates"":[-48.187881971806156,-25.634466758746505]}"
00000000000000001a0c,-25.634,-48.195,-16.49908,"{""type"":""Point"",""coordinates"":[-48.195462443597016,-25.634466758746502]}"
00000000000000001a0e,-25.634,-48.193,-17.633635,"{""type"":""Point"",""coordinates"":[-48.1929341332997,-25.634466758746505]}"
00000000000000001a10,-25.634,-48.18,-17.607846,"{""type"":""Point"",""coordinates"":[-48.1803015000153,-25.634466758746502]}"
00000000000000001a11,-25.634,-48.178,-16.897045,"{""type"":""Point"",""coordinates"":[-48.177777648819045,-25.634466758746505]}"
00000000000000001a12,-25.634,-48.185,-16.975903,"{""type"":""Point"",""coordinates"":[-48.18535366150885,-25.634466758746502]}"
00000000000000001a13,-25.634,-48.183,-18.640261,"{""type"":""Point"",""coordinates"":[-48.18282981031259,-25.634466758746505]}"
00000000000000001a14,-25.634,-48.17,-17.084208,"{""type"":""Point"",""coordinates"":[-48.170197177028186,-25.634466758746505]}"
00000000000000001a15,-25.634,-48.168,-17.17206,"{""type"":""Point"",""coordinates"":[-48.16766886673088,-25.634466758746502]}"
00000000000000001a16,-25.634,-48.175,-17.203916,"{""type"":""Point"",""coordinates"":[-48.17524933852174,-25.634466758746505]}"
00000000000000001a17,-25.634,-48.173,-17.801494,"{""type"":""Point"",""coordinates"":[-48.17272102822444,-25.634466758746505]}"
00000000000000001a18,-25.634,-48.16,-17.524413,"{""type"":""Point"",""coordinates"":[-48.16008839494003,-25.634466758746505]}"
00000000000000001a19,-25.634,-48.158,-18.373058,"{""type"":""Point"",""coordinates"":[-48.15756008464272,-25.634466758746505]}"
00000000000000001a1a,-25.634,-48.165,-18.181013,"{""type"":""Point"",""coordinates"":[-48.16514055643358,-25.634466758746502]}"
00000000000000001a1b,-25.634,-48.163,-18.051123,"{""type"":""Point"",""coordinates"":[-48.162616705237326,-25.634466758746502]}"
00000000000000001a1c,-25.634,-48.231,-16.427509,"{""type"":""Point"",""coordinates"":[-48.23083649225401,-25.634466758746505]}"
00000000000000001a1d,-25.634,-48.228,-16.081293,"{""type"":""Point"",""coordinates"":[-48.2283081819567,-25.634466758746502]}"
00000000000000001a1e,-25.634,-48.236,-15.307869,"{""type"":""Point"",""coordinates"":[-48.23588865374755,-25.634466758746505]}"
00000000000000001a1f,-25.634,-48.233,-15.581015,"{""type"":""Point"",""coordinates"":[-48.233360343450244,-25.634466758746505]}"
00000000000000001a20,-25.634,-48.221,-18.916983,"{""type"":""Point"",""coordinates"":[-48.22072771016583,-25.634466758746505]}"
00000000000000001a21,-25.634,-48.218,-16.347206,"{""type"":""Point"",""coordinates"":[-48.21820385896959,-25.634466758746505]}"
00000000000000001a22,-25.634,-48.226,-15.781481,"{""type"":""Point"",""coordinates"":[-48.22578433076043,-25.634466758746505]}"
00000000000000001a23,-25.634,-48.223,-16.245378,"{""type"":""Point"",""coordinates"":[-48.22325602046314,-25.634466758746505]}"
00000000000000001a24,-25.634,-48.211,-16.727799,"{""type"":""Point"",""coordinates"":[-48.21062338717873,-25.634466758746505]}"
00000000000000001a25,-25.634,-48.208,-15.949107,"{""type"":""Point"",""coordinates"":[-48.20809507688143,-25.634466758746505]}"
00000000000000001a26,-25.634,-48.216,-15.939962,"{""type"":""Point"",""coordinates"":[-48.21567554867228,-25.634466758746505]}"
00000000000000001a27,-25.634,-48.213,-16.488858,"{""type"":""Point"",""coordinates"":[-48.21314723837498,-25.634466758746505]}"
00000000000000001a28,-25.634,-48.201,-17.859299,"{""type"":""Point"",""coordinates"":[-48.20051460509056,-25.634466758746502]}"
00000000000000001a2a,-25.634,-48.198,-16.485574,"{""type"":""Point"",""coordinates"":[-48.197990753894324,-25.634466758746502]}"
00000000000000001a2b,-25.634,-48.206,-15.855368,"{""type"":""Point"",""coordinates"":[-48.20556676658412,-25.634466758746502]}"
00000000000000001a2d,-25.634,-48.203,-16.211121,"{""type"":""Point"",""coordinates"":[-48.20304291538787,-25.634466758746505]}"
00000000000000001a31,-25.634,-48.15,-16.990561,"{""type"":""Point"",""coordinates"":[-48.14998407195291,-25.634466758746505]}"
00000000000000001a32,-25.634,-48.147,-17.50437,"{""type"":""Point"",""coordinates"":[-48.14745576165562,-25.634466758746502]}"
00000000000000001a33,-25.634,-48.155,-18.238571,"{""type"":""Point"",""coordinates"":[-48.155036233446474,-25.634466758746505]}"
00000000000000001a34,-25.634,-48.153,-17.197051,"{""type"":""Point"",""coordinates"":[-48.15250792314916,-25.634466758746502]}"
00000000000000001a35,-25.634,-48.145,-18.930151,"{""type"":""Point"",""coordinates"":[-48.14492745135831,-25.634466758746505]}"
00000000000000001a36,-25.634,-48.352,-12.384818,"{""type"":""Point"",""coordinates"":[-48.35211512270562,-25.634466758746502]}"
00000000000000001a38,-25.634,-48.35,-12.586678,"{""type"":""Point"",""coordinates"":[-48.34958681240831,-25.634466758746505]}"
